month,Close
"Dec 1, 2023","4,685.05"
"Nov 1, 2023","4,460.06"
"Oct 1, 2023","4,258.98"
"Sep 1, 2023","4,409.10"
"Aug 1, 2023","4,426.24"
"Jul 1, 2023","4,508.08"
"Jun 1, 2023","4,345.37"
"May 1, 2023","4,146.17"
"Apr 1, 2023","4,121.47"
"Mar 1, 2023","3,968.56"
"Feb 1, 2023","4,079.68"
"Jan 1, 2023","3,960.66"
"Dec 1, 2022","3,912.38"
"Nov 1, 2022","3,917.49"
"Oct 1, 2022","3,726.05"
"Sep 1, 2022","3,850.52"
"Aug 1, 2022","4,158.56"
"Jul 1, 2022","3,911.73"
"Jun 1, 2022","3,898.95"
"May 1, 2022","4,040.36"
"Apr 1, 2022","4,391.30"
"Mar 1, 2022","4,391.27"
"Feb 1, 2022","4,435.98"
"Jan 1, 2022","4,573.82"
"Dec 1, 2021","4,674.77"
"Nov 1, 2021","4,667.39"
"Oct 1, 2021","4,460.71"
"Sep 1, 2021","4,445.54"
"Aug 1, 2021","4,454.21"
"Jul 1, 2021","4,363.71"
"Jun 1, 2021","4,238.49"
"May 1, 2021","4,167.85"
"Apr 1, 2021","4,141.18"
"Mar 1, 2021","3,910.51"
"Feb 1, 2021","3,883.43"
"Jan 1, 2021","3,793.75"
"Dec 1, 2020","3,695.31"
"Nov 1, 2020","3,548.99"
"Oct 1, 2020","3,418.70"
"Sep 1, 2020","3,365.52"
"Aug 1, 2020","3,391.71"
"Jul 1, 2020","3,207.62"
"Jun 1, 2020","3,104.66"
"May 1, 2020","2,919.61"
"Apr 1, 2020","2,761.98"
"Mar 1, 2020","2,652.39"
"Feb 1, 2020","3,277.31"
"Jan 1, 2020","3,278.20"
"Dec 1, 2019","3,176.75"
"Nov 1, 2019","3,104.90"
"Oct 1, 2019","2,977.68"
"Sep 1, 2019","2,982.16"
"Aug 1, 2019","2,897.50"
"Jul 1, 2019","2,996.11"
"Jun 1, 2019","2,890.17"
"May 1, 2019","2,854.71"
"Apr 1, 2019","2,903.80"
"Mar 1, 2019","2,803.98"
"Feb 1, 2019","2,754.86"
"Jan 1, 2019","2,607.39"
"Dec 1, 2018","2,567.31"
"Nov 1, 2018","2,723.23"
"Oct 1, 2018","2,785.46"
"Sep 1, 2018","2,901.50"
"Aug 1, 2018","2,857.82"
"Jul 1, 2018","2,793.64"
"Jun 1, 2018","2,754.35"
"May 1, 2018","2,701.49"
"Apr 1, 2018","2,653.63"
"Mar 1, 2018","2,702.77"
"Feb 1, 2018","2,705.16"
"Jan 1, 2018","2,789.80"
"Dec 1, 2017","2,664.34"
"Nov 1, 2017","2,593.61"
"Oct 1, 2017","2,557.00"
"Sep 1, 2017","2,492.84"
"Aug 1, 2017","2,456.22"
"Jul 1, 2017","2,454.10"
"Jun 1, 2017","2,433.99"
"May 1, 2017","2,395.35"
"Apr 1, 2017","2,359.31"
"Mar 1, 2017","2,366.82"
"Feb 1, 2017","2,329.91"
"Jan 1, 2017","2,275.12"
"Dec 1, 2016","2,246.63"
"Nov 1, 2016","2,164.99"
"Oct 1, 2016","2,143.02"
"Sep 1, 2016","2,157.69"
"Aug 1, 2016","2,170.95"
"Jul 1, 2016","2,148.90"
"Jun 1, 2016","2,083.89"
"May 1, 2016","2,065.55"
"Apr 1, 2016","2,075.54"
"Mar 1, 2016","2,021.95"
"Feb 1, 2016","1,904.42"
"Jan 1, 2016","1,918.60"
"Dec 1, 2015","2,054.08"
"Nov 1, 2015","2,080.62"
"Oct 1, 2015","2,024.81"
"Sep 1, 2015","1,944.41"
"Aug 1, 2015","2,039.87"
"Jul 1, 2015","2,094.14"
"Jun 1, 2015","2,099.29"
"May 1, 2015","2,111.94"
"Apr 1, 2015","2,094.86"
"Mar 1, 2015","2,079.99"
"Feb 1, 2015","2,082.20"
"Jan 1, 2015","2,028.18"
"Dec 1, 2014","2,054.27"
"Nov 1, 2014","2,044.57"
"Oct 1, 2014","1,937.27"
"Sep 1, 2014","1,993.23"
"Aug 1, 2014","1,961.53"
"Jul 1, 2014","1,973.10"
"Jun 1, 2014","1,947.09"
"May 1, 2014","1,889.77"
"Apr 1, 2014","1,864.26"
"Mar 1, 2014","1,863.52"
"Feb 1, 2014","1,817.04"
"Jan 1, 2014","1,822.36"
"Dec 1, 2013","1,807.78"
"Nov 1, 2013","1,783.54"
"Oct 1, 2013","1,720.03"
"Sep 1, 2013","1,687.17"
"Aug 1, 2013","1,670.09"
"Jul 1, 2013","1,668.68"
"Jun 1, 2013","1,618.77"
"May 1, 2013","1,639.84"
"Apr 1, 2013","1,570.70"
"Mar 1, 2013","1,550.83"
"Feb 1, 2013","1,512.31"
"Jan 1, 2013","1,480.40"
"Dec 1, 2012","1,422.29"
"Nov 1, 2012","1,394.51"
"Oct 1, 2012","1,437.82"
"Sep 1, 2012","1,443.42"
"Aug 1, 2012","1,403.45"
"Jul 1, 2012","1,359.78"
"Jun 1, 2012","1,323.48"
"May 1, 2012","1,341.27"
"Apr 1, 2012","1,386.43"
"Mar 1, 2012","1,389.24"
"Feb 1, 2012","1,352.49"
"Jan 1, 2012","1,300.58"
"Dec 1, 2011","1,243.32"
"Nov 1, 2011","1,226.42"
"Oct 1, 2011","1,207.22"
"Sep 1, 2011","1,173.88"
"Aug 1, 2011","1,185.31"
"Jul 1, 2011","1,325.19"
"Jun 1, 2011","1,287.29"
"May 1, 2011","1,338.31"
"Apr 1, 2011","1,331.51"
"Mar 1, 2011","1,304.49"
"Feb 1, 2011","1,321.12"
"Jan 1, 2011","1,282.62"
"Dec 1, 2010","1,241.53"
"Nov 1, 2010","1,198.89"
"Oct 1, 2010","1,171.58"
"Sep 1, 2010","1,122.08"
"Aug 1, 2010","1,087.28"
"Jul 1, 2010","1,079.80"
"Jun 1, 2010","1,083.36"
"May 1, 2010","1,125.06"
"Apr 1, 2010","1,197.32"
"Mar 1, 2010","1,152.05"
"Feb 1, 2010","1,089.16"
"Jan 1, 2010","1,123.58"
"Dec 1, 2009","1,110.38"
"Nov 1, 2009","1,088.07"
"Oct 1, 2009","1,067.66"
"Sep 1, 2009","1,044.55"
"Aug 1, 2009","1,009.73"
"Jul 1, 2009",935.82
"Jun 1, 2009",926.12
"May 1, 2009",902.41
"Apr 1, 2009",848.15
"Mar 1, 2009",757.13
"Feb 1, 2009",805.23
"Jan 1, 2009",865.58
"Dec 1, 2008",877.56
"Nov 1, 2008",883.04
"Oct 1, 2008",968.8
"Sep 1, 2008","1,216.95"
"Aug 1, 2008","1,281.47"
"Jul 1, 2008","1,257.33"
"Jun 1, 2008","1,341.25"
"May 1, 2008","1,403.22"
"Apr 1, 2008","1,370.47"
"Mar 1, 2008","1,316.94"
"Feb 1, 2008","1,354.87"
"Jan 1, 2008","1,378.76"
"Dec 1, 2007","1,479.22"
"Nov 1, 2007","1,463.39"
"Oct 1, 2007","1,539.66"
"Sep 1, 2007","1,497.12"
"Aug 1, 2007","1,454.62"
"Jul 1, 2007","1,520.71"
"Jun 1, 2007","1,514.19"
"May 1, 2007","1,511.14"
"Apr 1, 2007","1,463.64"
"Mar 1, 2007","1,406.95"
"Feb 1, 2007","1,444.80"
"Jan 1, 2007","1,424.16"
"Dec 1, 2006","1,416.42"
"Nov 1, 2006","1,388.64"
"Oct 1, 2006","1,363.38"
"Sep 1, 2006","1,317.74"
"Aug 1, 2006","1,287.15"
"Jul 1, 2006","1,260.24"
"Jun 1, 2006","1,253.17"
"May 1, 2006","1,290.01"
"Apr 1, 2006","1,302.17"
"Mar 1, 2006","1,293.74"
"Feb 1, 2006","1,276.65"
"Jan 1, 2006","1,278.73"
"Dec 1, 2005","1,262.07"
"Nov 1, 2005","1,237.37"
"Oct 1, 2005","1,191.96"
"Sep 1, 2005","1,225.92"
"Aug 1, 2005","1,224.27"
"Jul 1, 2005","1,222.24"
"Jun 1, 2005","1,202.25"
"May 1, 2005","1,178.28"
"Apr 1, 2005","1,164.43"
"Mar 1, 2005","1,194.90"
"Feb 1, 2005","1,199.63"
"Jan 1, 2005","1,181.41"
"Dec 1, 2004","1,199.21"
"Nov 1, 2004","1,168.94"
"Oct 1, 2004","1,117.21"
"Sep 1, 2004","1,117.66"
"Aug 1, 2004","1,088.94"
"Jul 1, 2004","1,105.85"
"Jun 1, 2004","1,132.76"
"May 1, 2004","1,102.78"
"Apr 1, 2004","1,133.36"
"Mar 1, 2004","1,123.98"
"Feb 1, 2004","1,143.36"
"Jan 1, 2004","1,132.52"
