YearMonth,Date,Close,Volume,Volatility_30d,Company,Apple: (Worldwide),Google: (Worldwide),Amazon: (Worldwide),Microsoft: (Worldwide),Netflix: (Worldwide)
2004-08-01,2004-08-31,0.5669400502334941,8011365600,0.02355196377760221,Apple,2,8,4,9,0.5
2004-08-01,2004-08-31,1.896704543720592,3600448000,0.03448651816811929,Amazon,2,8,4,9,0.5
2004-08-01,2004-08-31,2.6217287911309137,2684837851,,Google,2,8,4,9,0.5
2004-08-01,2004-08-31,27.408181623979047,1094195300,0.01232868949639513,Microsoft,2,8,4,9,0.5
2004-08-01,2004-08-31,2.306428562511097,290639300,0.03493327750266633,Netflix,2,8,4,9,0.5
2004-09-01,2004-09-30,0.655102048601423,7673506400,0.018723667387682396,Apple,2,9,4,9,0.5
2004-09-01,2004-09-30,2.027404779479617,3523538000,0.022887388772221136,Amazon,2,9,4,9,0.5
2004-09-01,2004-09-30,2.8201081525711786,4270113667,,Google,2,9,4,9,0.5
2004-09-01,2004-09-30,27.351428894769576,1141012300,0.007356752986114784,Microsoft,2,9,4,9,0.5
2004-09-01,2004-09-30,2.2870749973115467,341873000,0.03324329111302601,Netflix,2,9,4,9,0.5
2004-10-01,2004-10-29,0.7922278614271254,16094366400,0.02828896743648401,Apple,2,9,4,9,0.5
2004-10-01,2004-10-29,1.9132857095627558,4171368000,0.029115144955582945,Amazon,2,9,4,9,0.5
2004-10-01,2004-10-29,3.8164686929611933,10321258145,0.03759667967005901,Google,2,9,4,9,0.5
2004-10-01,2004-10-29,28.123809451148624,1300591200,0.010108738157358613,Microsoft,2,9,4,9,0.5
2004-10-01,2004-10-29,1.9168706507909865,959910700,0.10013309752489237,Netflix,2,9,4,9,0.5
2004-11-01,2004-11-30,1.026156479404086,17439604000,0.025972896400492704,Apple,2,10,5,9,0.5
2004-11-01,2004-11-30,1.9176904871350242,3369498000,0.03135549016312508,Amazon,2,10,5,9,0.5
2004-11-01,2004-11-30,4.420810563223703,11145383635,0.04684780213823509,Google,2,10,5,9,0.5
2004-11-01,2004-11-30,27.97333326793852,1739407300,0.019223227325732548,Microsoft,2,10,5,9,0.5
2004-11-01,2004-11-30,1.5504081816900344,404514600,0.03591419759335266,Netflix,2,10,5,9,0.5
2004-12-01,2004-12-31,1.1517614072019404,15948615200,0.03080513103442409,Apple,3,10,6,8,0.5
2004-12-01,2004-12-31,2.0331818027929827,3520296000,0.02482042692507315,Amazon,3,10,6,8,0.5
